,province,p_codes,region,r_codes,cases,deaths,fatality_rate
0,Abra,PH140100000,CAR,PH140000000,56,2,3.57
1,Agusan del Norte,PH160200000,Region XIII,PH160000000,934,8,0.86
2,Agusan del Sur,PH160300000,Region XIII,PH160000000,781,21,2.69
3,Aklan,PH060400000,Region VI,PH060000000,530,2,0.38
4,Albay,PH050500000,Region V,PH050000000,143,4,2.8
5,Antique,PH060600000,Region VI,PH060000000,585,6,1.03
6,Apayao,PH148100000,CAR,PH140000000,92,14,15.22
7,Aurora,PH037700000,Region III,PH030000000,215,0,0.0
8,Basilan,PH150700000,BARMM,PH150000000,62,2,3.23
9,Bataan,PH030800000,Region III,PH030000000,1007,2,0.2
10,Batanes,PH020900000,Region II,PH020000000,10,0,0.0
11,Batangas,PH041000000,Region IV-A,PH040000000,1271,6,0.47
12,Benguet,PH141100000,CAR,PH140000000,560,31,5.54
13,Biliran,PH087800000,Region VIII,PH080000000,424,0,0.0
14,Bohol,PH071200000,Region VII,PH070000000,3046,11,0.36
15,Bukidnon,PH101300000,Region X,PH100000000,1411,7,0.5
16,Bulacan,PH031400000,Region III,PH030000000,3415,16,0.47
17,Cagayan,PH021500000,Region II,PH020000000,188,2,1.06
18,Camarines Norte,PH051600000,Region V,PH050000000,258,4,1.55
19,Camarines Sur,PH051700000,Region V,PH050000000,797,9,1.13
20,Camiguin,PH101800000,Region X,PH100000000,149,0,0.0
21,Capiz,PH061900000,Region VI,PH060000000,372,1,0.27
22,Catanduanes,PH052000000,Region V,PH050000000,103,0,0.0
23,Cavite,PH042100000,Region IV-A,PH040000000,3267,9,0.28
24,Cebu,PH072200000,Region VII,PH070000000,6402,37,0.58
25,City of Isabela,PH099700000,Region IX,PH090000000,165,0,0.0
26,Cotabato,PH124700000,Region XII,PH120000000,1258,68,5.41
27,Cotabato City,PH129800000,Region XII,PH120000000,227,20,8.81
28,Davao Occidental,PH118600000,Region XI,PH110000000,30,0,0.0
29,Davao Oriental,PH112500000,Region XI,PH110000000,198,1,0.51
30,Davao del Norte,PH112300000,Region XI,PH110000000,525,2,0.38
31,Davao del Sur,PH112400000,Region XI,PH110000000,1183,10,0.85
32,Dinagat Islands,PH168500000,Region XIII,PH160000000,301,3,1.0
33,Eastern Samar,PH082600000,Region VIII,PH080000000,418,4,0.96
34,Guimaras,PH067900000,Region VI,PH060000000,97,1,1.03
35,Ifugao,PH142700000,CAR,PH140000000,73,7,9.59
36,Ilocos Norte,PH012800000,Region I,PH010000000,173,1,0.58
37,Ilocos Sur,PH012900000,Region I,PH010000000,1427,1,0.07
38,Iloilo,PH063000000,Region VI,PH060000000,993,4,0.4
39,Isabela,PH023100000,Region II,PH020000000,709,6,0.85
40,Kalinga,PH143200000,CAR,PH140000000,167,17,10.18
41,La Union,PH013300000,Region I,PH010000000,343,1,0.29
42,Laguna,PH043400000,Region IV-A,PH040000000,2045,8,0.39
43,Lanao del Norte,PH103500000,Region X,PH100000000,1312,9,0.69
44,Lanao del Sur,PH153600000,BARMM,PH150000000,564,13,2.3
45,Leyte,PH083700000,Region VIII,PH080000000,2450,6,0.24
46,Maguindanao,PH153800000,BARMM,PH150000000,264,7,2.65
47,Marinduque,PH174000000,MIMAROPA,PH170000000,146,0,0.0
48,Masbate,PH054100000,Region V,PH050000000,125,0,0.0
49,Misamis Occidental,PH104200000,Region X,PH100000000,1093,10,0.91
50,Misamis Oriental,PH104300000,Region X,PH100000000,2260,9,0.4
51,Mountain Province,PH144400000,CAR,PH140000000,33,2,6.06
52,"NCR, City of Manila, First District",PH133900000,NCR,PH130000000,689,34,4.93
53,"NCR, Fourth District",PH137600000,NCR,PH130000000,2106,128,6.08
54,"NCR, Second District",PH137400000,NCR,PH130000000,2757,168,6.09
55,"NCR, Third District",PH137500000,NCR,PH130000000,1631,153,9.38
56,Negros Occidental,PH064500000,Region VI,PH060000000,1554,2,0.13
57,Negros Oriental,PH074600000,Region VII,PH070000000,2574,5,0.19
58,Northern Samar,PH084800000,Region VIII,PH080000000,300,1,0.33
59,Nueva Ecija,PH034900000,Region III,PH030000000,3205,8,0.25
60,Nueva Vizcaya,PH025000000,Region II,PH020000000,353,0,0.0
61,Occidental Mindoro,PH175100000,MIMAROPA,PH170000000,451,2,0.44
62,Oriental Mindoro,PH175200000,MIMAROPA,PH170000000,1083,3,0.28
63,Palawan,PH175300000,MIMAROPA,PH170000000,3214,16,0.5
64,Pampanga,PH035400000,Region III,PH030000000,4252,22,0.52
65,Pangasinan,PH015500000,Region I,PH010000000,5228,15,0.29
66,Quezon,PH045600000,Region IV-A,PH040000000,945,1,0.11
67,Quirino,PH025700000,Region II,PH020000000,368,1,0.27
68,Rizal,PH045800000,Region IV-A,PH040000000,2193,11,0.5
69,Romblon,PH175900000,MIMAROPA,PH170000000,183,2,1.09
70,Samar,PH086000000,Region VIII,PH080000000,565,1,0.18
71,Sarangani,PH128000000,Region XII,PH120000000,899,61,6.79
72,Siquijor,PH076100000,Region VII,PH070000000,384,1,0.26
73,Sorsogon,PH056200000,Region V,PH050000000,295,4,1.36
74,South Cotabato,PH126300000,Region XII,PH120000000,1606,78,4.86
75,Southern Leyte,PH086400000,Region VIII,PH080000000,675,0,0.0
76,Sultan Kudarat,PH126500000,Region XII,PH120000000,373,21,5.63
77,Sulu,PH156600000,BARMM,PH150000000,67,1,1.49
78,Surigao del Norte,PH166700000,Region XIII,PH160000000,852,12,1.41
79,Surigao del Sur,PH166800000,Region XIII,PH160000000,1115,15,1.35
80,Tarlac,PH036900000,Region III,PH030000000,3264,7,0.21
81,Tawi-Tawi,PH157000000,BARMM,PH150000000,51,0,0.0
82,Zambales,PH037100000,Region III,PH030000000,633,2,0.32
83,Zamboanga Sibugay,PH098300000,Region IX,PH090000000,406,6,1.48
84,Zamboanga del Norte,PH097200000,Region IX,PH090000000,1153,3,0.26
85,Zamboanga del Sur,PH097300000,Region IX,PH090000000,960,7,0.73
