,adm1_psgc,adm2_psgc,region,province,date,month_name,month_num,cases,deaths
0,100000000,105500000,Region I (Ilocos Region),Pangasinan,5/1/2020,January,1,0,0
1,100000000,102800000,Region I (Ilocos Region),Ilocos Norte,5/1/2020,January,1,0,0
2,100000000,102900000,Region I (Ilocos Region),Ilocos Sur,5/1/2020,January,1,0,0
3,100000000,103300000,Region I (Ilocos Region),La Union,5/1/2020,January,1,1,0
4,100000000,105500000,Region I (Ilocos Region),Pangasinan,5/1/2020,January,1,12,0
5,200000000,200900000,Region II (Cagayan Valley),Batanes,5/1/2020,January,1,0,0
6,200000000,201500000,Region II (Cagayan Valley),Cagayan,5/1/2020,January,1,13,0
7,200000000,203100000,Region II (Cagayan Valley),Isabela,5/1/2020,January,1,45,0
8,200000000,205000000,Region II (Cagayan Valley),Nueva Vizcaya,5/1/2020,January,1,30,0
9,200000000,205700000,Region II (Cagayan Valley),Quirino,5/1/2020,January,1,14,0
10,200000000,203100000,Region II (Cagayan Valley),Isabela,5/1/2020,January,1,6,1
11,300000000,305400000,Region III (Central Luzon),Pampanga,5/1/2020,January,1,5,0
12,300000000,307700000,Region III (Central Luzon),Aurora,5/1/2020,January,1,0,0
13,300000000,300800000,Region III (Central Luzon),Bataan,5/1/2020,January,1,11,0
14,300000000,301400000,Region III (Central Luzon),Bulacan,5/1/2020,January,1,59,1
15,300000000,304900000,Region III (Central Luzon),Nueva Ecija,5/1/2020,January,1,90,0
16,300000000,307100000,Region III (Central Luzon),Zambales,5/1/2020,January,1,5,0
17,300000000,305400000,Region III (Central Luzon),Pampanga,5/1/2020,January,1,74,0
18,300000000,306900000,Region III (Central Luzon),Tarlac,5/1/2020,January,1,9,0
19,300000000,307100000,Region III (Central Luzon),Zambales,5/1/2020,January,1,5,0
20,400000000,401000000,Region IV-A (CALABARZON),Batangas,5/1/2020,January,1,136,1
21,400000000,402100000,Region IV-A (CALABARZON),Cavite,5/1/2020,January,1,312,3
22,400000000,403400000,Region IV-A (CALABARZON),Laguna,5/1/2020,January,1,179,1
23,400000000,405600000,Region IV-A (CALABARZON),Quezon,5/1/2020,January,1,7,0
24,400000000,405600000,Region IV-A (CALABARZON),Quezon,5/1/2020,January,1,85,0
25,400000000,405800000,Region IV-A (CALABARZON),Rizal,5/1/2020,January,1,194,1
26,1700000000,1704000000,MIMAROPA Region,Marinduque,5/1/2020,January,1,0,0
27,1700000000,1705100000,MIMAROPA Region,Occidental Mindoro,5/1/2020,January,1,0,0
28,1700000000,1705200000,MIMAROPA Region,Oriental Mindoro,5/1/2020,January,1,0,0
29,1700000000,1705300000,MIMAROPA Region,Palawan,5/1/2020,January,1,0,0
30,1700000000,1705300000,MIMAROPA Region,Palawan,5/1/2020,January,1,0,0
31,1700000000,1705900000,MIMAROPA Region,Romblon,5/1/2020,January,1,1,0
32,500000000,500500000,Region V (Bicol Region),Albay,5/1/2020,January,1,17,0
33,500000000,501600000,Region V (Bicol Region),Camarines Norte,5/1/2020,January,1,12,0
34,500000000,501700000,Region V (Bicol Region),Camarines Sur,5/1/2020,January,1,53,0
35,500000000,502000000,Region V (Bicol Region),Catanduanes,5/1/2020,January,1,1,0
36,500000000,504100000,Region V (Bicol Region),Masbate,5/1/2020,January,1,5,0
37,500000000,501700000,Region V (Bicol Region),Camarines Sur,5/1/2020,January,1,13,0
38,500000000,506200000,Region V (Bicol Region),Sorsogon,5/1/2020,January,1,15,0
39,600000000,600400000,Region VI (Western Visayas),Aklan,5/1/2020,January,1,0,0
40,600000000,600600000,Region VI (Western Visayas),Antique,5/1/2020,January,1,0,0
41,600000000,604500000,Region VI (Western Visayas),Negros Occidental,5/1/2020,January,1,0,0
42,600000000,601900000,Region VI (Western Visayas),Capiz,5/1/2020,January,1,0,0
43,600000000,607900000,Region VI (Western Visayas),Guimaras,5/1/2020,January,1,0,0
44,600000000,603000000,Region VI (Western Visayas),Iloilo,5/1/2020,January,1,0,0
45,600000000,603000000,Region VI (Western Visayas),Iloilo,5/1/2020,January,1,0,0
46,600000000,604500000,Region VI (Western Visayas),Negros Occidental,5/1/2020,January,1,0,0
47,700000000,701200000,Region VII (Central Visayas),Bohol,5/1/2020,January,1,256,0
48,700000000,702200000,Region VII (Central Visayas),Cebu,5/1/2020,January,1,287,3
49,700000000,702200000,Region VII (Central Visayas),Cebu,5/1/2020,January,1,122,0
50,700000000,702200000,Region VII (Central Visayas),Cebu,5/1/2020,January,1,99,0
51,700000000,702200000,Region VII (Central Visayas),Cebu,5/1/2020,January,1,35,1
52,700000000,704600000,Region VII (Central Visayas),Negros Oriental,5/1/2020,January,1,102,0
53,700000000,706100000,Region VII (Central Visayas),Siquijor,5/1/2020,January,1,26,0
54,800000000,807800000,Region VIII (Eastern Visayas),Biliran,5/1/2020,January,1,0,0
55,800000000,802600000,Region VIII (Eastern Visayas),Eastern Samar,5/1/2020,January,1,0,0
56,800000000,803700000,Region VIII (Eastern Visayas),Leyte,5/1/2020,January,1,18,1
57,800000000,804800000,Region VIII (Eastern Visayas),Northern Samar,5/1/2020,January,1,1,0
58,800000000,803700000,Region VIII (Eastern Visayas),Leyte,5/1/2020,January,1,0,0
59,800000000,806000000,Region VIII (Eastern Visayas),Samar,5/1/2020,January,1,7,0
60,800000000,806400000,Region VIII (Eastern Visayas),Southern Leyte,5/1/2020,January,1,0,0
61,800000000,803700000,Region VIII (Eastern Visayas),Leyte,5/1/2020,January,1,0,0
62,900000000,990100000,Region IX (Zamboanga Peninsula),City of Isabela (Not a Province),5/1/2020,January,1,3,0
63,900000000,907300000,Region IX (Zamboanga Peninsula),Zamboanga del Sur,5/1/2020,January,1,30,0
64,900000000,907200000,Region IX (Zamboanga Peninsula),Zamboanga del Norte,5/1/2020,January,1,46,0
65,900000000,907300000,Region IX (Zamboanga Peninsula),Zamboanga del Sur,5/1/2020,January,1,19,0
66,900000000,908300000,Region IX (Zamboanga Peninsula),Zamboanga Sibugay,5/1/2020,January,1,22,0
67,1000000000,1001300000,Region X (Northern Mindanao),Bukidnon,5/1/2020,January,1,11,0
68,1000000000,1004300000,Region X (Northern Mindanao),Misamis Oriental,5/1/2020,January,1,19,0
69,1000000000,1001800000,Region X (Northern Mindanao),Camiguin,5/1/2020,January,1,5,0
70,1000000000,1003500000,Region X (Northern Mindanao),Lanao del Norte,5/1/2020,January,1,6,0
71,1000000000,1003500000,Region X (Northern Mindanao),Lanao del Norte,5/1/2020,January,1,17,0
72,1000000000,1004200000,Region X (Northern Mindanao),Misamis Occidental,5/1/2020,January,1,12,0
73,1000000000,1004300000,Region X (Northern Mindanao),Misamis Oriental,5/1/2020,January,1,10,0
74,1100000000,1102400000,Region XI (Davao Region),Davao del Sur,5/1/2020,January,1,1,0
75,1100000000,1108200000,Region XI (Davao Region),Davao de Oro,5/1/2020,January,1,0,0
76,1100000000,1102300000,Region XI (Davao Region),Davao del Norte,5/1/2020,January,1,2,0
77,1100000000,1102400000,Region XI (Davao Region),Davao del Sur,5/1/2020,January,1,0,0
78,1100000000,1108600000,Region XI (Davao Region),Davao Occidental,5/1/2020,January,1,0,0
79,1100000000,1102500000,Region XI (Davao Region),Davao Oriental,5/1/2020,January,1,0,0
80,1200000000,1204700000,Region XII (SOCCSKSARGEN),Cotabato,5/1/2020,January,1,0,0
81,1200000000,1206300000,Region XII (SOCCSKSARGEN),South Cotabato,5/1/2020,January,1,0,0
82,1200000000,1204700000,Region XII (SOCCSKSARGEN),Cotabato,5/1/2020,January,1,0,0
83,1200000000,1208000000,Region XII (SOCCSKSARGEN),Sarangani,5/1/2020,January,1,0,0
84,1200000000,1206300000,Region XII (SOCCSKSARGEN),South Cotabato,5/1/2020,January,1,0,0
85,1200000000,1206500000,Region XII (SOCCSKSARGEN),Sultan Kudarat,5/1/2020,January,1,0,0
86,1900000000,1900700000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Basilan,5/1/2020,January,1,3,0
87,1900000000,1903600000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Lanao del Sur,5/1/2020,January,1,34,0
88,1900000000,1908700000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Maguindanao del Norte,5/1/2020,January,1,13,0
89,1900000000,1906600000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Sulu,5/1/2020,January,1,4,0
90,1900000000,1907000000,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Tawi-Tawi,5/1/2020,January,1,2,0
91,1400000000,1400100000,Cordillera Administrative Region (CAR),Abra,5/1/2020,January,1,4,0
92,1400000000,1408100000,Cordillera Administrative Region (CAR),Apayao,5/1/2020,January,1,7,0
93,1400000000,1401100000,Cordillera Administrative Region (CAR),Benguet,5/1/2020,January,1,8,0
94,1400000000,1401100000,Cordillera Administrative Region (CAR),Benguet,5/1/2020,January,1,24,0
95,1400000000,1402700000,Cordillera Administrative Region (CAR),Ifugao,5/1/2020,January,1,11,0
96,1400000000,1403200000,Cordillera Administrative Region (CAR),Kalinga,5/1/2020,January,1,15,0
