ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,2020 Censu
Ilocos Norte,PH012800000,Region I,PH010000000,Philippines (the),PH,"609588.0"
Ilocos Sur,PH012900000,Region I,PH010000000,Philippines (the),PH,"706009.0"
La Union,PH013300000,Region I,PH010000000,Philippines (the),PH,"822352.0"
Pangasinan,PH015500000,Region I,PH010000000,Philippines (the),PH,"3163190.0"
Batanes,PH020900000,Region II,PH020000000,Philippines (the),PH,"18831.0"
Cagayan,PH021500000,Region II,PH020000000,Philippines (the),PH,"1268603.0"
Isabela,PH023100000,Region II,PH020000000,Philippines (the),PH,"1697050.0"
Nueva Vizcaya,PH025000000,Region II,PH020000000,Philippines (the),PH,"497432.0"
Quirino,PH025700000,Region II,PH020000000,Philippines (the),PH,"203828.0"
Bataan,PH030800000,Region III,PH030000000,Philippines (the),PH,"853373.0"
Bulacan,PH031400000,Region III,PH030000000,Philippines (the),PH,"3708890.0"
Nueva Ecija,PH034900000,Region III,PH030000000,Philippines (the),PH,"2310134.0"
Pampanga,PH035400000,Region III,PH030000000,Philippines (the),PH,"2900637.0"
Tarlac,PH036900000,Region III,PH030000000,Philippines (the),PH,"1503456.0"
Zambales,PH037100000,Region III,PH030000000,Philippines (the),PH,"909932.0"
Aurora,PH037700000,Region III,PH030000000,Philippines (the),PH,"235750.0"
Batangas,PH041000000,Region IV-A,PH040000000,Philippines (the),PH,"2908494.0"
Cavite,PH042100000,Region IV-A,PH040000000,Philippines (the),PH,"4344829.0"
Laguna,PH043400000,Region IV-A,PH040000000,Philippines (the),PH,"3382193.0"
Quezon,PH045600000,Region IV-A,PH040000000,Philippines (the),PH,"2229383.0"
Rizal,PH045800000,Region IV-A,PH040000000,Philippines (the),PH,"3330143.0"
Albay,PH050500000,Region V,PH050000000,Philippines (the),PH,"1374768.0"
Camarines Norte,PH051600000,Region V,PH050000000,Philippines (the),PH,"629699.0"
Camarines Sur,PH051700000,Region V,PH050000000,Philippines (the),PH,"2068244.0"
Catanduanes,PH052000000,Region V,PH050000000,Philippines (the),PH,"271879.0"
Masbate,PH054100000,Region V,PH050000000,Philippines (the),PH,"908920.0"
Sorsogon,PH056200000,Region V,PH050000000,Philippines (the),PH,"828655.0"
Aklan,PH060400000,Region VI,PH060000000,Philippines (the),PH,"615475.0"
Antique,PH060600000,Region VI,PH060000000,Philippines (the),PH,"612974.0"
Capiz,PH061900000,Region VI,PH060000000,Philippines (the),PH,"804952.0"
Iloilo,PH063000000,Region VI,PH060000000,Philippines (the),PH,"2509525.0"
Negros Occidental,PH064500000,Region VI,PH060000000,Philippines (the),PH,"3223955.0"
Guimaras,PH067900000,Region VI,PH060000000,Philippines (the),PH,"187842.0"
Bohol,PH071200000,Region VII,PH070000000,Philippines (the),PH,"1394329.0"
Cebu,PH072200000,Region VII,PH070000000,Philippines (the),PH,"5151274.0"
Negros Oriental,PH074600000,Region VII,PH070000000,Philippines (the),PH,"1432990.0"
Siquijor,PH076100000,Region VII,PH070000000,Philippines (the),PH,"103395.0"
Eastern Samar,PH082600000,Region VIII,PH080000000,Philippines (the),PH,"477168.0"
Leyte,PH083700000,Region VIII,PH080000000,Philippines (the),PH,"2028728.0"
Northern Samar,PH084800000,Region VIII,PH080000000,Philippines (the),PH,"639186.0"
Samar,PH086000000,Region VIII,PH080000000,Philippines (the),PH,"793183.0"
Southern Leyte,PH086400000,Region VIII,PH080000000,Philippines (the),PH,"429573.0"
Biliran,PH087800000,Region VIII,PH080000000,Philippines (the),PH,"179312.0"
Zamboanga del Norte,PH097200000,Region IX,PH090000000,Philippines (the),PH,"1047455.0"
Zamboanga del Sur,PH097300000,Region IX,PH090000000,Philippines (the),PH,"2027902.0"
